Generic Name	SMILES	Drug Bank ID	URL	Drug Groups	Score
Acetohydroxamic acid	DB00551	CC(=O)NO	https://go.drugbank.com/drugs/DB00551	approved	-650.635
Pentostatin	DB00552	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC[C@H]2O	https://go.drugbank.com/drugs/DB00552	approved; investigational	-633.851
Methoxsalen	DB00553	COC1=C2OC(=O)C=CC2=CC2=C1OC=C2	https://go.drugbank.com/drugs/DB00553	approved	-650.816
Piroxicam	DB00554	CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O	https://go.drugbank.com/drugs/DB00554	approved; investigational	-622.349
Lamotrigine	DB00555	NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1	https://go.drugbank.com/drugs/DB00555	approved; investigational	-631.919
Perflutren	DB00556	FC(F)(F)C(F)(F)C(F)(F)F	https://go.drugbank.com/drugs/DB00556	approved	-640.587
Hydroxyzine	DB00557	OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	https://go.drugbank.com/drugs/DB00557	approved	-627.312
Zanamivir	DB00558	[H][C@]1(OC(=C[C@H](N=C(N)N)[C@H]1NC(C)=O)C(O)=O)[C@H](O)[C@H](O)CO	https://go.drugbank.com/drugs/DB00558	approved; investigational	-652.015
Bosentan	DB00559	COC1=CC=CC=C1OC1=C(NS(=O)(=O)C2=CC=C(C=C2)C(C)(C)C)N=C(N=C1OCCO)C1=NC=CC=N1	https://go.drugbank.com/drugs/DB00559	approved; investigational	-664.389
Doxapram	DB00561	CCN1CC(CCN2CCOCC2)C(C1=O)(C1=CC=CC=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00561	approved; vet_approved	-637.917
Benzthiazide	DB00562	NS(=O)(=O)C1=CC2=C(C=C1Cl)N=C(CSCC1=CC=CC=C1)NS2(=O)=O	https://go.drugbank.com/drugs/DB00562	approved	-558.086
Methotrexate	DB00563	[H][C@@](CCC(O)=O)(NC(=O)C1=CC=C(C=C1)N(C)CC1=NC2=C(N)NC(=N)N=C2N=C1)C(O)=O	https://go.drugbank.com/drugs/DB00563	approved	-560.568
Carbamazepine	DB00564	NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C12	https://go.drugbank.com/drugs/DB00564	approved; investigational	-637.273
Succimer	DB00566	OC(=O)[C@@H](S)[C@@H](S)C(O)=O	https://go.drugbank.com/drugs/DB00566	approved	-628.476
Cephalexin	DB00567	[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O	https://go.drugbank.com/drugs/DB00567	approved; investigational; vet_approved	-635.328
Cinnarizine	DB00568	C(C=CC1=CC=CC=C1)N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00568	approved; investigational	-624.545
Propranolol	DB00571	CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2	https://go.drugbank.com/drugs/DB00571	approved; investigational	-631.065
Fenoprofen	DB00573	CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1	https://go.drugbank.com/drugs/DB00573	approved	-632.393
Fenfluramine	DB00574	CCNC(C)CC1=CC=CC(=C1)C(F)(F)F	https://go.drugbank.com/drugs/DB00574	approved; illicit; investigational; withdrawn	-642.983
Clonidine	DB00575	ClC1=CC=CC(Cl)=C1NC1=NCCN1	https://go.drugbank.com/drugs/DB00575	approved	-629.72
Sulfamethizole	DB00576	CC1=NN=C(NS(=O)(=O)C2=CC=C(N)C=C2)S1	https://go.drugbank.com/drugs/DB00576	approved; investigational; vet_approved	-633.583
Valaciclovir	DB00577	CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1NC(N)=NC2=O	https://go.drugbank.com/drugs/DB00577	approved; investigational	-622.607
Carbenicillin	DB00578	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C(C(O)=O)C1=CC=CC=C1)C(O)=O	https://go.drugbank.com/drugs/DB00578	approved; investigational	-651.878
Mazindol	DB00579	OC1(N2CCN=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1	https://go.drugbank.com/drugs/DB00579	approved; investigational	-634.227
Valdecoxib	DB00580	CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O	https://go.drugbank.com/drugs/DB00580	approved; investigational; withdrawn	-562.329
Lactulose	DB00581	OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O	https://go.drugbank.com/drugs/DB00581	approved	-709.775
Voriconazole	DB00582	C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1	https://go.drugbank.com/drugs/DB00582	approved	-554.545
Levocarnitine	DB00583	C[N+](C)(C)C[C@H](O)CC([O-])=O	https://go.drugbank.com/drugs/DB00583	approved; investigational	-630.765
Enalapril	DB00584	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O	https://go.drugbank.com/drugs/DB00584	approved; vet_approved	-572.711
Nizatidine	DB00585	CNC(NCCSCC1=CSC(CN(C)C)=N1)=C[N+]([O-])=O	https://go.drugbank.com/drugs/DB00585	approved	-643.147
Diclofenac	DB00586	OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl	https://go.drugbank.com/drugs/DB00586	approved; vet_approved	-635.98
Fluticasone propionate	DB00588	[H][C@@]12C[C@@H](C)[C@](OC(=O)CC)(C(=O)SCF)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C	https://go.drugbank.com/drugs/DB00588	approved	-698.416
Lisuride	DB00589	[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@@H](CN2C)NC(=O)N(CC)CC	https://go.drugbank.com/drugs/DB00589	approved; investigational	-649.839
Doxazosin	DB00590	COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1	https://go.drugbank.com/drugs/DB00590	approved	-538.344
Fluocinolone acetonide	DB00591	[H][C@@]12C[C@@]3([H])[C@]4([H])C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC(C)(C)O2)C(=O)CO	https://go.drugbank.com/drugs/DB00591	approved; investigational; vet_approved	-648.462
Piperazine	DB00592	C1CNCCN1	https://go.drugbank.com/drugs/DB00592	approved; vet_approved	-630.609
Ethosuximide	DB00593	CCC1(C)CC(=O)NC1=O	https://go.drugbank.com/drugs/DB00593	approved	-643.157
Amiloride	DB00594	NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N	https://go.drugbank.com/drugs/DB00594	approved	-630.022
Ulobetasol	DB00596	[H][C@@]12C[C@H](C)[C@](O)(C(=O)CCl)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C	https://go.drugbank.com/drugs/DB00596	approved	-647.636
Labetalol	DB00598	CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1	https://go.drugbank.com/drugs/DB00598	approved	-645.424
Thiopental	DB00599	CCCC(C)C1(CC)C(=O)NC(=S)NC1=O	https://go.drugbank.com/drugs/DB00599	approved; vet_approved	-709.922
Monobenzone	DB00600	OC1=CC=C(OCC2=CC=CC=C2)C=C1	https://go.drugbank.com/drugs/DB00600	approved	-637.061
Linezolid	DB00601	CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1	https://go.drugbank.com/drugs/DB00601	approved; investigational	-631.953
Medroxyprogesterone acetate	DB00603	[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C	https://go.drugbank.com/drugs/DB00603	approved; investigational	-559.296
Cisapride	DB00604	CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC	https://go.drugbank.com/drugs/DB00604	approved; investigational; withdrawn	-389.81
Sulindac	DB00605	CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O	https://go.drugbank.com/drugs/DB00605	approved; investigational	-605.523
Cyclothiazide	DB00606	NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C1CC2CC1C=C2	https://go.drugbank.com/drugs/DB00606	approved	-631.951
Nafcillin	DB00607	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(OCC)C=CC2=CC=CC=C12)C(O)=O	https://go.drugbank.com/drugs/DB00607	approved; investigational	-470.24
Chloroquine	DB00608	CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12	https://go.drugbank.com/drugs/DB00608	approved; investigational; vet_approved	-652.432
Ethionamide	DB00609	CCC1=NC=CC(=C1)C(N)=S	https://go.drugbank.com/drugs/DB00609	approved	-658.464
Metaraminol	DB00610	C[C@H](N)[C@H](O)C1=CC(O)=CC=C1	https://go.drugbank.com/drugs/DB00610	approved; investigational	-655.937
Butorphanol	DB00611	[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1	https://go.drugbank.com/drugs/DB00611	approved; illicit; vet_approved	-646.954
Bisoprolol	DB00612	CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1	https://go.drugbank.com/drugs/DB00612	approved	-639.265
Amodiaquine	DB00613	CCN(CC)CC1=C(O)C=CC(NC2=C3C=CC(Cl)=CC3=NC=C2)=C1	https://go.drugbank.com/drugs/DB00613	approved; investigational	-653.079
Paramethadione	DB00617	CCC1(C)OC(=O)N(C)C1=O	https://go.drugbank.com/drugs/DB00617	approved	-628.079
Imatinib	DB00619	CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1	https://go.drugbank.com/drugs/DB00619	approved	-634.094
Triamcinolone	DB00620	[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	https://go.drugbank.com/drugs/DB00620	approved; vet_approved	-628.659
Oxandrolone	DB00621	[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)OC[C@]12C	https://go.drugbank.com/drugs/DB00621	approved; investigational	-599.484
Nicardipine	DB00622	COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1	https://go.drugbank.com/drugs/DB00622	approved; investigational	-525.295
Fluphenazine	DB00623	OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(C=C3)C(F)(F)F)CC1	https://go.drugbank.com/drugs/DB00623	approved	-635.142
Testosterone	DB00624	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O	https://go.drugbank.com/drugs/DB00624	approved; investigational	-638.36
Efavirenz	DB00625	FC(F)(F)[C@]1(OC(=O)NC2=C1C=C(Cl)C=C2)C#CC1CC1	https://go.drugbank.com/drugs/DB00625	approved; investigational	-694.84
Niacin	DB00627	OC(=O)C1=CN=CC=C1	https://go.drugbank.com/drugs/DB00627	approved; investigational; nutraceutical	-654.982
Clorazepic acid	DB00628	OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2	https://go.drugbank.com/drugs/DB00628	approved; illicit	-653.62
Guanabenz	DB00629	NC(N)=NN=CC1=C(Cl)C=CC=C1Cl	https://go.drugbank.com/drugs/DB00629	approved; investigational	-642.586
Alendronic acid	DB00630	NCCCC(O)(P(O)(O)=O)P(O)(O)=O	https://go.drugbank.com/drugs/DB00630	approved	-629.013
Clofarabine	DB00631	[H][C@]1(F)[C@H](O)[C@@H](CO)O[C@H]1N1C=NC2=C(N)N=C(Cl)N=C12	https://go.drugbank.com/drugs/DB00631	approved; investigational	-654.791
Dexmedetomidine	DB00633	C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1	https://go.drugbank.com/drugs/DB00633	approved; vet_approved	-632.754
Sulfacetamide	DB00634	CC(=O)NS(=O)(=O)C1=CC=C(N)C=C1	https://go.drugbank.com/drugs/DB00634	approved	-650.454
Prednisone	DB00635	[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	https://go.drugbank.com/drugs/DB00635	approved; vet_approved	-660.904
Clofibrate	DB00636	CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1	https://go.drugbank.com/drugs/DB00636	approved; investigational	-661.266
Astemizole	DB00637	COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1	https://go.drugbank.com/drugs/DB00637	approved; withdrawn	-716.458
Butoconazole	DB00639	ClC1=CC=C(CCC(CN2C=CN=C2)SC2=C(Cl)C=CC=C2Cl)C=C1	https://go.drugbank.com/drugs/DB00639	approved	-601.353
Adenosine	DB00640	NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1	https://go.drugbank.com/drugs/DB00640	approved; investigational	-643.842
Simvastatin	DB00641	[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC	https://go.drugbank.com/drugs/DB00641	approved	-619.102
Pemetrexed	DB00642	NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1	https://go.drugbank.com/drugs/DB00642	approved; investigational	-547.691
Mebendazole	DB00643	COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00643	approved; vet_approved	-612.306
Dyclonine	DB00645	CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1	https://go.drugbank.com/drugs/DB00645	approved	-521.608
Dextropropoxyphene	DB00647	CCC(=O)O[C@@](CC1=CC=CC=C1)([C@H](C)CN(C)C)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00647	approved; illicit; investigational; withdrawn	-658.866
Mitotane	DB00648	ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl	https://go.drugbank.com/drugs/DB00648	approved	-665.139
Stavudine	DB00649	CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O	https://go.drugbank.com/drugs/DB00649	approved; investigational	-584.491
Leucovorin	DB00650	[H]C(=O)N1C(CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2	https://go.drugbank.com/drugs/DB00650	approved	-643.734
Dyphylline	DB00651	CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O	https://go.drugbank.com/drugs/DB00651	approved	-653.226
Pentazocine	DB00652	C[C@H]1[C@H]2CC3=CC=C(O)C=C3[C@]1(C)CCN2CC=C(C)C	https://go.drugbank.com/drugs/DB00652	approved; vet_approved	-583.557
Latanoprost	DB00654	CC(C)OC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1CC[C@@H](O)CCC1=CC=CC=C1	https://go.drugbank.com/drugs/DB00654	approved; investigational	-625.912
Estrone	DB00655	[H][C@@]12CCC(=O)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3	https://go.drugbank.com/drugs/DB00655	approved	-699.308
Trazodone	DB00656	ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1	https://go.drugbank.com/drugs/DB00656	approved; investigational	-608.558
Mecamylamine	DB00657	CNC1(C)C2CCC(C2)C1(C)C	https://go.drugbank.com/drugs/DB00657	approved; investigational	-633.429
Acamprosate	DB00659	CC(=O)NCCCS(O)(=O)=O	https://go.drugbank.com/drugs/DB00659	approved; investigational	-627.583
Metaxalone	DB00660	CC1=CC(OCC2CNC(=O)O2)=CC(C)=C1	https://go.drugbank.com/drugs/DB00660	approved	-617.871
Verapamil	DB00661	COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1	https://go.drugbank.com/drugs/DB00661	approved	-706.321
Trimethobenzamide	DB00662	COC1=CC(=CC(OC)=C1OC)C(=O)NCC1=CC=C(OCCN(C)C)C=C1	https://go.drugbank.com/drugs/DB00662	approved; investigational	-634.214
Flumethasone	DB00663	[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])C[C@H](F)C2=CC(=O)C=C[C@]12C	https://go.drugbank.com/drugs/DB00663	approved; vet_approved	-641.107
Sulfametopyrazine	DB00664	COC1=NC=CN=C1NS(=O)(=O)C1=CC=C(N)C=C1	https://go.drugbank.com/drugs/DB00664	approved; withdrawn	-635.033
Nilutamide	DB00665	CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F	https://go.drugbank.com/drugs/DB00665	approved; investigational	-638.319
Epinephrine	DB00668	CNC[C@H](O)C1=CC(O)=C(O)C=C1	https://go.drugbank.com/drugs/DB00668	approved; vet_approved	-622.193
Sumatriptan	DB00669	CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1	https://go.drugbank.com/drugs/DB00669	approved; investigational	-648.703
Pirenzepine	DB00670	CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1	https://go.drugbank.com/drugs/DB00670	approved	-625.913
Cefixime	DB00671	[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OCC(O)=O)\C1=CSC(N)=N1)C(O)=O	https://go.drugbank.com/drugs/DB00671	approved; investigational	-474.844
Chlorpropamide	DB00672	CCCNC(=O)NS(=O)(=O)C1=CC=C(Cl)C=C1	https://go.drugbank.com/drugs/DB00672	approved; investigational	-610.422
Aprepitant	DB00673	C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F	https://go.drugbank.com/drugs/DB00673	approved; investigational	-632.284
Galantamine	DB00674	[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3	https://go.drugbank.com/drugs/DB00674	approved	-655.506
Tamoxifen	DB00675	CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00675	approved	-588.847
Benzyl benzoate	DB00676	O=C(OCC1=CC=CC=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00676	approved	-657.492
Isoflurophate	DB00677	CC(C)OP(F)(=O)OC(C)C	https://go.drugbank.com/drugs/DB00677	approved; investigational; withdrawn	-643.148
Losartan	DB00678	CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1	https://go.drugbank.com/drugs/DB00678	approved	-635.743
Thioridazine	DB00679	CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1	https://go.drugbank.com/drugs/DB00679	approved; withdrawn	-640.256
Moricizine	DB00680	CCOC(=O)NC1=CC2=C(SC3=CC=CC=C3N2C(=O)CCN2CCOCC2)C=C1	https://go.drugbank.com/drugs/DB00680	approved; investigational; withdrawn	-589.106
Warfarin	DB00682	CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2	https://go.drugbank.com/drugs/DB00682	approved	-635.777
Midazolam	DB00683	CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12	https://go.drugbank.com/drugs/DB00683	approved; illicit	-635.42
Tobramycin	DB00684	NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O	https://go.drugbank.com/drugs/DB00684	approved; investigational	-680.227
Pentosan polysulfate	DB00686	O[C@@H]1CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]1OS(O)(=O)=O	https://go.drugbank.com/drugs/DB00686	approved	-467.313
Fludrocortisone	DB00687	[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C	https://go.drugbank.com/drugs/DB00687	approved; investigational	-708.08
Mycophenolate mofetil	DB00688	COC1=C(C\C=C(/C)CCC(=O)OCCN2CCOCC2)C(O)=C2C(=O)OCC2=C1C	https://go.drugbank.com/drugs/DB00688	approved; investigational	-629.418
Cephaloglycin	DB00689	[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O	https://go.drugbank.com/drugs/DB00689	approved	-629.496
Flurazepam	DB00690	CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F	https://go.drugbank.com/drugs/DB00690	approved; illicit; investigational	-617.989
Moexipril	DB00691	CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC(OC)=C(OC)C=C2C[C@H]1C(O)=O	https://go.drugbank.com/drugs/DB00691	approved	-670.084
Phentolamine	DB00692	CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC(O)=CC=C1	https://go.drugbank.com/drugs/DB00692	approved	-618.986
Fluorescein	DB00693	OC1=CC=C2C(OC3=CC(O)=CC=C3C22OC(=O)C3=C2C=CC=C3)=C1	https://go.drugbank.com/drugs/DB00693	approved	-703.341
Daunorubicin	DB00694	COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(C)=O)C(O)=C1C2=O	https://go.drugbank.com/drugs/DB00694	approved	-516.348
Furosemide	DB00695	NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O	https://go.drugbank.com/drugs/DB00695	approved; vet_approved	-632.958
Ergotamine	DB00696	[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)C4=C3)O[C@@]21O	https://go.drugbank.com/drugs/DB00696	approved	-439.479
Tizanidine	DB00697	ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1	https://go.drugbank.com/drugs/DB00697	approved; investigational	-633.578
Nitrofurantoin	DB00698	[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O	https://go.drugbank.com/drugs/DB00698	approved; vet_approved	-632.971
Nicergoline	DB00699	[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@]1(C[C@@H](COC(=O)C1=CN=CC(Br)=C1)CN2C)OC	https://go.drugbank.com/drugs/DB00699	approved; investigational	-620.545
Eplerenone	DB00700	[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)C[C@H]1O[C@@]11[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)C(=O)OC	https://go.drugbank.com/drugs/DB00700	approved	-628.794
Amprenavir	DB00701	CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1	https://go.drugbank.com/drugs/DB00701	approved; investigational	-649.664
Methazolamide	DB00703	CN1N=C(S\C1=N\C(C)=O)S(N)(=O)=O	https://go.drugbank.com/drugs/DB00703	approved	-685.804
Naltrexone	DB00704	[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	https://go.drugbank.com/drugs/DB00704	approved; investigational; vet_approved	-620.182
Delavirdine	DB00705	CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2	https://go.drugbank.com/drugs/DB00705	approved	-646.563
Tamsulosin	DB00706	CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O	https://go.drugbank.com/drugs/DB00706	approved; investigational	-628.948
Sufentanil	DB00708	CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1	https://go.drugbank.com/drugs/DB00708	approved; investigational	-627.676
Lamivudine	DB00709	NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1	https://go.drugbank.com/drugs/DB00709	approved; investigational	-627.038
Ibandronate	DB00710	CCCCCN(C)CCC(O)(P(O)(O)=O)P(O)(O)=O	https://go.drugbank.com/drugs/DB00710	approved; investigational	-659.742
Diethylcarbamazine	DB00711	CCN(CC)C(=O)N1CCN(C)CC1	https://go.drugbank.com/drugs/DB00711	approved; investigational; vet_approved	-652.386
Flurbiprofen	DB00712	CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1	https://go.drugbank.com/drugs/DB00712	approved; investigational	-659.951
Oxacillin	DB00713	[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=CC=CC=C1)C(O)=O	https://go.drugbank.com/drugs/DB00713	approved; investigational	-636.664
Apomorphine	DB00714	[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23	https://go.drugbank.com/drugs/DB00714	approved; investigational	-710.122
Paroxetine	DB00715	FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1	https://go.drugbank.com/drugs/DB00715	approved; investigational	-671.021
Nedocromil	DB00716	CCCC1=C2N(CC)C(=CC(=O)C2=CC2=C1OC(=CC2=O)C(O)=O)C(O)=O	https://go.drugbank.com/drugs/DB00716	approved; investigational	-620.677
Norethisterone	DB00717	[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]	https://go.drugbank.com/drugs/DB00717	approved	-650.961
Adefovir dipivoxil	DB00718	CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C	https://go.drugbank.com/drugs/DB00718	approved; investigational	-632.879
Azatadine	DB00719	CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2	https://go.drugbank.com/drugs/DB00719	approved	-709.073
Clodronic acid	DB00720	OP(O)(=O)C(Cl)(Cl)P(O)(O)=O	https://go.drugbank.com/drugs/DB00720	approved; investigational; vet_approved	-651.679
Procaine	DB00721	CCN(CC)CCOC(=O)C1=CC=C(N)C=C1	https://go.drugbank.com/drugs/DB00721	approved; investigational; vet_approved	-631.456
Lisinopril	DB00722	NCCCC[C@H](N[C@@H](CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@H]1C(O)=O	https://go.drugbank.com/drugs/DB00722	approved; investigational	-621.534
